image_filename,has_detection,person_detected,object_detected,vehicle_detected,animal_detected,food_detected,face_count,gray_histogram,gray_median,hue_histogram,hue_median,saturation_histogram,saturation_median,value_histogram,value_median,edges
https_i.ytimg.comviPadm4JItZPwdefault.jpg,False,False,False,False,False,False,0,[0.34379085 0.20723039 0.22091503 0.09946895 0.12859477],90.0,[0.61053922 0.07941176 0.20637255 0.08026961 0.02340686],29.0,[0.32034314 0.43933824 0.15526961 0.05772059 0.02732843],71.0,[0.03639706 0.13737745 0.25747549 0.21531863 0.35343137],169.0,0.2577205882352941
https_i.ytimg.comviPaumoJFmHlYdefault.jpg,True,True,False,False,False,False,0,[0.40531046 0.1128268  0.2566585  0.12042484 0.10477941],88.0,[0.26017157 0.04301471 0.06936275 0.5310049  0.09644608],111.0,[0.15784314 0.10232843 0.16029412 0.27156863 0.30796569],167.0,[0.79448529 0.17401961 0.0182598  0.00686275 0.00637255],19.0,0.09240196078431373
https_i.ytimg.comviPbRmbhdHDDMdefault.jpg,True,True,False,False,False,False,0,[0.3625     0.28247549 0.28059641 0.05743464 0.01699346],78.0,[0.21066176 0.01360294 0.42745098 0.2692402  0.07904412],103.0,[0.44546569 0.33664216 0.12426471 0.0627451  0.03088235],56.0,[0.42414216 0.26642157 0.24215686 0.04718137 0.02009804],58.0,0.1556372549019608
https_i.ytimg.comviPc1Obe1BWhcdefault.jpg,True,True,False,False,False,False,1,[0.27773693 0.1943219  0.27520425 0.01454248 0.23819444],103.0,[0.09019608 0.00183824 0.70526961 0.19154412 0.01115196],104.0,[0.65477941 0.24742647 0.05784314 0.00808824 0.03186275],38.0,[0.09154412 0.16139706 0.03921569 0.02659314 0.68125   ],240.0,0.10870098039215687
https_i.ytimg.comviPcYhtiJneHgdefault.jpg,True,True,True,False,False,False,1,[0.53713235 0.17504085 0.10302288 0.10874183 0.07606209],30.0,[0.65428922 0.19522059 0.10036765 0.03737745 0.0127451 ],15.0,[0.64963235 0.22267157 0.05759804 0.00539216 0.06470588],19.0,[0.28921569 0.06335784 0.17463235 0.30931373 0.16348039],147.0,0.12267156862745097
https_i.ytimg.comviPcYo_bdCvTkdefault.jpg,True,True,True,False,False,False,1,[0.32977941 0.22389706 0.1503268  0.14468954 0.15130719],93.0,[0.70882353 0.00747549 0.15453431 0.0504902  0.07867647],12.0,[0.12046569 0.18811275 0.17144608 0.17303922 0.34693627],158.0,[0.17928922 0.3254902  0.20857843 0.18186275 0.10477941],104.0,0.2045343137254902
https_i.ytimg.comviPcrVm1qEJyAdefault.jpg,True,True,True,False,False,False,1,[0.35800654 0.13705065 0.27589869 0.19571078 0.03333333],103.0,[0.43125    0.02071078 0.04473039 0.45085784 0.05245098],109.0,[0.50269608 0.31053922 0.1560049  0.02193627 0.00882353],50.0,[0.12659314 0.06139706 0.17634804 0.50514706 0.13051471],166.0,0.15490196078431373
https_i.ytimg.comviPcuRZ3WACBUdefault.jpg,True,True,False,False,False,False,3,[0.30477941 0.25910948 0.20686275 0.15126634 0.07798203],87.0,[0.5872549  0.00882353 0.01286765 0.14852941 0.24252451],10.0,[0.24509804 0.33884804 0.23504902 0.07438725 0.10661765],89.0,[0.07990196 0.42855392 0.21985294 0.14509804 0.12659314],101.0,0.2213235294117647
https_i.ytimg.comviPdbJBDNotf8default.jpg,True,True,True,False,False,False,0,[0.37099673 0.25314542 0.20853758 0.14591503 0.02140523],89.0,[0.3182598  0.08063725 0.45625    0.10759804 0.0372549 ],87.0,[0.70931373 0.17438725 0.09007353 0.01691176 0.00931373],18.0,[0.05220588 0.15330882 0.36764706 0.37303922 0.05379902],145.0,0.22732843137254902
https_i.ytimg.comviPeYARbPHcvkdefault.jpg,False,False,False,False,False,False,0,[0.35077614 0.19787582 0.13366013 0.10825163 0.20943627],83.0,[0.37806373 0.31446078 0.19031863 0.09240196 0.0247549 ],49.0,[0.49056373 0.24166667 0.08946078 0.0625     0.11580882],51.0,[0.04338235 0.07414216 0.12757353 0.24240196 0.5125    ],205.5,0.3107843137254902
https_i.ytimg.comviPfLCyR6Efvwdefault.jpg,True,True,False,False,False,False,0,[0.15833333 0.27610294 0.47994281 0.04705882 0.03856209],106.0,[0.03541667 0.00330882 0.27340686 0.6747549  0.01311275],109.0,[0.38210784 0.53970588 0.03848039 0.01348039 0.02622549],55.0,[0.05637255 0.24031863 0.50110294 0.11507353 0.08713235],118.0,0.15588235294117647
